time	V(ina)	V(out_y)	V(sel)	V(selb)
2.714575038673134e-08	0.000000e+00	-4.659204e-07	5.000000e+00	0.000000e+00
2.718481288673134e-08	0.000000e+00	5.052279e-07	5.000000e+00	0.000000e+00
2.722387538673134e-08	0.000000e+00	-4.642171e-07	5.000000e+00	0.000000e+00
2.726293788673134e-08	0.000000e+00	5.033792e-07	5.000000e+00	0.000000e+00
2.730200038673134e-08	0.000000e+00	-4.625183e-07	5.000000e+00	0.000000e+00
2.734106288673134e-08	0.000000e+00	5.015356e-07	5.000000e+00	0.000000e+00
2.738012538673134e-08	0.000000e+00	-4.608242e-07	5.000000e+00	0.000000e+00
2.741918788673134e-08	0.000000e+00	4.996969e-07	5.000000e+00	0.000000e+00
2.745825038673134e-08	0.000000e+00	-4.591346e-07	5.000000e+00	0.000000e+00
2.749731288673134e-08	0.000000e+00	4.978633e-07	5.000000e+00	0.000000e+00
2.753637538673134e-08	0.000000e+00	-4.574497e-07	5.000000e+00	0.000000e+00
2.757543788673134e-08	0.000000e+00	4.960346e-07	5.000000e+00	0.000000e+00
2.761450038673134e-08	0.000000e+00	-4.557694e-07	5.000000e+00	0.000000e+00
2.765356288673134e-08	0.000000e+00	4.942110e-07	5.000000e+00	0.000000e+00
2.769262538673134e-08	0.000000e+00	-4.540937e-07	5.000000e+00	0.000000e+00
2.773168788673134e-08	0.000000e+00	4.923923e-07	5.000000e+00	0.000000e+00
2.777075038673134e-08	0.000000e+00	-4.524225e-07	5.000000e+00	0.000000e+00
2.780981288673134e-08	0.000000e+00	4.905787e-07	5.000000e+00	0.000000e+00
2.784887538673134e-08	0.000000e+00	-4.507560e-07	5.000000e+00	0.000000e+00
2.788793788673134e-08	0.000000e+00	4.887701e-07	5.000000e+00	0.000000e+00
2.792700038673134e-08	0.000000e+00	-4.490941e-07	5.000000e+00	0.000000e+00
2.796606288673134e-08	0.000000e+00	4.869664e-07	5.000000e+00	0.000000e+00
2.800512538673134e-08	0.000000e+00	-4.474368e-07	5.000000e+00	0.000000e+00
2.804418788673134e-08	0.000000e+00	4.851678e-07	5.000000e+00	0.000000e+00
2.808325038673134e-08	0.000000e+00	-4.457841e-07	5.000000e+00	0.000000e+00
2.812231288673134e-08	0.000000e+00	4.833743e-07	5.000000e+00	0.000000e+00
2.816137538673134e-08	0.000000e+00	-4.441360e-07	5.000000e+00	0.000000e+00
2.820043788673133e-08	0.000000e+00	4.815856e-07	5.000000e+00	0.000000e+00
2.823950038673133e-08	0.000000e+00	-4.424926e-07	5.000000e+00	0.000000e+00
2.827856288673133e-08	0.000000e+00	4.798021e-07	5.000000e+00	0.000000e+00
2.831762538673133e-08	0.000000e+00	-4.408537e-07	5.000000e+00	0.000000e+00
2.835668788673133e-08	0.000000e+00	4.780235e-07	5.000000e+00	0.000000e+00
2.839575038673133e-08	0.000000e+00	-4.392195e-07	5.000000e+00	0.000000e+00
2.843481288673133e-08	0.000000e+00	4.762500e-07	5.000000e+00	0.000000e+00
2.847387538673133e-08	0.000000e+00	-4.375899e-07	5.000000e+00	0.000000e+00
2.851293788673133e-08	0.000000e+00	4.744815e-07	5.000000e+00	0.000000e+00
2.855200038673133e-08	0.000000e+00	-4.359649e-07	5.000000e+00	0.000000e+00
2.859106288673133e-08	0.000000e+00	4.727179e-07	5.000000e+00	0.000000e+00
2.863012538673133e-08	0.000000e+00	-4.343445e-07	5.000000e+00	0.000000e+00
2.866918788673133e-08	0.000000e+00	4.709594e-07	5.000000e+00	0.000000e+00
2.870825038673133e-08	0.000000e+00	-4.327287e-07	5.000000e+00	0.000000e+00
2.874731288673133e-08	0.000000e+00	4.692060e-07	5.000000e+00	0.000000e+00
2.878637538673133e-08	0.000000e+00	-4.311176e-07	5.000000e+00	0.000000e+00
2.882543788673133e-08	0.000000e+00	4.674575e-07	5.000000e+00	0.000000e+00
2.886450038673133e-08	0.000000e+00	-4.295110e-07	5.000000e+00	0.000000e+00
2.890356288673133e-08	0.000000e+00	4.657140e-07	5.000000e+00	0.000000e+00
2.894262538673133e-08	0.000000e+00	-4.279091e-07	5.000000e+00	0.000000e+00
2.898168788673133e-08	0.000000e+00	4.639756e-07	5.000000e+00	0.000000e+00
2.902075038673133e-08	0.000000e+00	-4.263118e-07	5.000000e+00	0.000000e+00
2.905981288673133e-08	0.000000e+00	4.622421e-07	5.000000e+00	0.000000e+00
2.909887538673133e-08	0.000000e+00	-4.247191e-07	5.000000e+00	0.000000e+00
2.913793788673133e-08	0.000000e+00	4.605137e-07	5.000000e+00	0.000000e+00
2.917700038673133e-08	0.000000e+00	-4.231310e-07	5.000000e+00	0.000000e+00
2.921606288673133e-08	0.000000e+00	4.587903e-07	5.000000e+00	0.000000e+00
2.925512538673132e-08	0.000000e+00	-4.215475e-07	5.000000e+00	0.000000e+00
2.929418788673132e-08	0.000000e+00	4.570719e-07	5.000000e+00	0.000000e+00
2.933325038673132e-08	0.000000e+00	-4.199686e-07	5.000000e+00	0.000000e+00
2.937231288673132e-08	0.000000e+00	4.553585e-07	5.000000e+00	0.000000e+00
2.941137538673132e-08	0.000000e+00	-4.183943e-07	5.000000e+00	0.000000e+00
2.945043788673132e-08	0.000000e+00	4.536500e-07	5.000000e+00	0.000000e+00
2.948950038673132e-08	0.000000e+00	-4.168246e-07	5.000000e+00	0.000000e+00
2.952856288673132e-08	0.000000e+00	4.519466e-07	5.000000e+00	0.000000e+00
2.956762538673132e-08	0.000000e+00	-4.152596e-07	5.000000e+00	0.000000e+00
2.960668788673132e-08	0.000000e+00	4.502483e-07	5.000000e+00	0.000000e+00
2.964575038673132e-08	0.000000e+00	-4.136991e-07	5.000000e+00	0.000000e+00
2.968481288673132e-08	0.000000e+00	4.485548e-07	5.000000e+00	0.000000e+00
2.972387538673132e-08	0.000000e+00	-4.121432e-07	5.000000e+00	0.000000e+00
2.976293788673132e-08	0.000000e+00	4.468664e-07	5.000000e+00	0.000000e+00
2.980200038673132e-08	0.000000e+00	-4.105919e-07	5.000000e+00	0.000000e+00
2.984106288673132e-08	0.000000e+00	4.451830e-07	5.000000e+00	0.000000e+00
2.988012538673132e-08	0.000000e+00	-4.090452e-07	5.000000e+00	0.000000e+00
2.991918788673132e-08	0.000000e+00	4.435046e-07	5.000000e+00	0.000000e+00
2.995825038673132e-08	0.000000e+00	-4.075031e-07	5.000000e+00	0.000000e+00
2.999731288673132e-08	0.000000e+00	4.418311e-07	5.000000e+00	0.000000e+00
3.003637538673132e-08	0.000000e+00	-4.059656e-07	5.000000e+00	0.000000e+00
3.007543788673132e-08	0.000000e+00	4.401627e-07	5.000000e+00	0.000000e+00
3.011450038673132e-08	0.000000e+00	-4.044327e-07	5.000000e+00	0.000000e+00
3.015356288673132e-08	0.000000e+00	4.384992e-07	5.000000e+00	0.000000e+00
3.019262538673132e-08	0.000000e+00	-4.029044e-07	5.000000e+00	0.000000e+00
3.023168788673132e-08	0.000000e+00	4.368407e-07	5.000000e+00	0.000000e+00
3.027075038673131e-08	0.000000e+00	-4.013806e-07	5.000000e+00	0.000000e+00
3.030981288673131e-08	0.000000e+00	4.351871e-07	5.000000e+00	0.000000e+00
3.034887538673131e-08	0.000000e+00	-3.998614e-07	5.000000e+00	0.000000e+00
3.038793788673131e-08	0.000000e+00	4.335386e-07	5.000000e+00	0.000000e+00
3.042700038673131e-08	0.000000e+00	-3.983468e-07	5.000000e+00	0.000000e+00
3.046606288673131e-08	0.000000e+00	4.318950e-07	5.000000e+00	0.000000e+00
3.050512538673131e-08	0.000000e+00	-3.968368e-07	5.000000e+00	0.000000e+00
3.054418788673131e-08	0.000000e+00	4.302564e-07	5.000000e+00	0.000000e+00
3.058325038673131e-08	0.000000e+00	-3.953313e-07	5.000000e+00	0.000000e+00
3.062231288673131e-08	0.000000e+00	4.286227e-07	5.000000e+00	0.000000e+00
3.066137538673131e-08	0.000000e+00	-3.938304e-07	5.000000e+00	0.000000e+00
3.070043788673131e-08	0.000000e+00	4.269940e-07	5.000000e+00	0.000000e+00
3.073950038673131e-08	0.000000e+00	-3.923340e-07	5.000000e+00	0.000000e+00
3.077856288673131e-08	0.000000e+00	4.253702e-07	5.000000e+00	0.000000e+00
3.081762538673131e-08	0.000000e+00	-3.908422e-07	5.000000e+00	0.000000e+00
3.085668788673131e-08	0.000000e+00	4.237514e-07	5.000000e+00	0.000000e+00
3.089575038673131e-08	0.000000e+00	-3.893549e-07	5.000000e+00	0.000000e+00
3.093481288673131e-08	0.000000e+00	4.221376e-07	5.000000e+00	0.000000e+00
3.097387538673131e-08	0.000000e+00	-3.878722e-07	5.000000e+00	0.000000e+00
3.101293788673131e-08	0.000000e+00	4.205286e-07	5.000000e+00	0.000000e+00
3.105200038673131e-08	0.000000e+00	-3.863941e-07	5.000000e+00	0.000000e+00
3.109106288673131e-08	0.000000e+00	4.189246e-07	5.000000e+00	0.000000e+00
3.113012538673131e-08	0.000000e+00	-3.849204e-07	5.000000e+00	0.000000e+00
3.116918788673131e-08	0.000000e+00	4.173256e-07	5.000000e+00	0.000000e+00
3.120825038673131e-08	0.000000e+00	-3.834514e-07	5.000000e+00	0.000000e+00
3.124731288673131e-08	0.000000e+00	4.157314e-07	5.000000e+00	0.000000e+00
3.128637538673131e-08	0.000000e+00	-3.819868e-07	5.000000e+00	0.000000e+00
3.130000000000000e-08	0.000000e+00	4.229031e-07	5.000000e+00	0.000000e+00
3.130136246132687e-08	6.812306e-02	1.156263e-02	5.000000e+00	0.000000e+00
3.130408738398061e-08	2.043692e-01	4.417078e-02	5.000000e+00	0.000000e+00
3.130953722928809e-08	4.768615e-01	1.578447e-01	5.000000e+00	0.000000e+00
3.132043691990305e-08	1.021846e+00	5.056853e-01	5.000000e+00	0.000000e+00
3.134160792481955e-08	2.080396e+00	1.430957e+00	5.000000e+00	0.000000e+00
3.136828890005414e-08	3.414445e+00	2.712446e+00	5.000000e+00	0.000000e+00
3.139707735926025e-08	4.853868e+00	3.941283e+00	5.000000e+00	0.000000e+00
3.140000000000000e-08	5.000000e+00	4.060533e+00	5.000000e+00	0.000000e+00
3.140029226407398e-08	5.000000e+00	4.070040e+00	5.000000e+00	0.000000e+00
3.140087679222193e-08	5.000000e+00	4.089174e+00	5.000000e+00	0.000000e+00
3.140204584851783e-08	5.000000e+00	4.126503e+00	5.000000e+00	0.000000e+00
3.140438396110963e-08	5.000000e+00	4.197025e+00	5.000000e+00	0.000000e+00
3.140906018629324e-08	5.000000e+00	4.322940e+00	5.000000e+00	0.000000e+00
3.141841263666045e-08	5.000000e+00	4.522552e+00	5.000000e+00	0.000000e+00
3.143711753739486e-08	5.000000e+00	4.771701e+00	5.000000e+00	0.000000e+00
3.147452733886368e-08	5.000000e+00	4.962795e+00	5.000000e+00	0.000000e+00
3.151358983886368e-08	5.000000e+00	4.995027e+00	5.000000e+00	0.000000e+00
3.155265233886368e-08	5.000000e+00	4.999331e+00	5.000000e+00	0.000000e+00
3.159171483886368e-08	5.000000e+00	4.999928e+00	5.000000e+00	0.000000e+00
3.163077733886368e-08	5.000000e+00	4.999978e+00	5.000000e+00	0.000000e+00
3.166983983886368e-08	5.000000e+00	5.000010e+00	5.000000e+00	0.000000e+00
3.170000000000000e-08	5.000000e+00	4.999988e+00	5.000000e+00	0.000000e+00
3.170301601611363e-08	5.000000e+00	5.019808e+00	5.000000e+00	1.508008e-01
3.170904804834090e-08	5.000000e+00	5.055969e+00	5.000000e+00	4.524024e-01
3.172111211279543e-08	5.000000e+00	5.110203e+00	5.000000e+00	1.055606e+00
3.174524024170448e-08	5.000000e+00	5.184193e+00	5.000000e+00	2.262012e+00
3.178430274170448e-08	5.000000e+00	5.347408e+00	5.000000e+00	4.215137e+00
3.180000000000000e-08	5.000000e+00	5.429766e+00	5.000000e+00	5.000000e+00
3.180156972582955e-08	5.000000e+00	5.426473e+00	4.921514e+00	5.000000e+00
3.180470917748866e-08	5.000000e+00	5.419611e+00	4.764541e+00	5.000000e+00
3.181098808080687e-08	5.000000e+00	5.405876e+00	4.450596e+00	5.000000e+00
3.182354588744329e-08	5.000000e+00	5.378410e+00	3.822706e+00	5.000000e+00
3.184866150071612e-08	5.000000e+00	5.323438e+00	2.566925e+00	5.000000e+00
3.188772400071612e-08	5.000000e+00	5.237901e+00	6.138000e-01	5.000000e+00
3.190000000000001e-08	5.000000e+00	5.211018e+00	0.000000e+00	5.000000e+00
3.190122759992839e-08	5.000000e+00	5.210969e+00	0.000000e+00	5.000000e+00
3.190368279978518e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.190859319949873e-08	5.000000e+00	5.210969e+00	0.000000e+00	5.000000e+00
3.191841399892584e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
