time	V(vdd)*Ix(xinv_20_1@0:vdd)
1.370177348258030e-08	7.196074e-06
1.374083598258030e-08	-7.127232e-06
1.377989848258030e-08	7.059617e-06
1.381896098258030e-08	-6.992972e-06
1.385802348258030e-08	6.927510e-06
1.389708598258030e-08	-6.862978e-06
1.393614848258030e-08	6.799588e-06
1.397521098258030e-08	-6.737087e-06
1.401427348258030e-08	6.675688e-06
1.405333598258030e-08	-6.615139e-06
1.409239848258030e-08	6.555654e-06
1.413146098258030e-08	-6.496982e-06
1.417052348258030e-08	6.439337e-06
1.420958598258030e-08	-6.382469e-06
1.424864848258030e-08	6.326594e-06
1.428771098258030e-08	-6.271461e-06
1.432677348258030e-08	6.217285e-06
1.436583598258030e-08	-6.163821e-06
1.440489848258030e-08	6.111280e-06
1.444396098258030e-08	-6.059419e-06
1.448302348258029e-08	6.008450e-06
1.452208598258029e-08	-5.958130e-06
1.456114848258029e-08	5.908672e-06
1.460021098258029e-08	-5.859833e-06
1.463927348258029e-08	5.811828e-06
1.467833598258029e-08	-5.764414e-06
1.471739848258029e-08	5.717806e-06
1.475646098258029e-08	-5.671765e-06
1.479552348258029e-08	5.626494e-06
1.483458598258029e-08	-5.581773e-06
1.487364848258029e-08	5.537792e-06
1.491271098258029e-08	-5.494338e-06
1.495177348258029e-08	5.451597e-06
1.499083598258029e-08	-5.409359e-06
1.502989848258029e-08	5.367812e-06
1.506896098258029e-08	-5.326744e-06
1.510802348258029e-08	5.286344e-06
1.514708598258029e-08	-5.246400e-06
1.518614848258029e-08	5.207103e-06
1.522521098258029e-08	-5.168241e-06
1.526427348258029e-08	5.130004e-06
1.530333598258029e-08	-5.092182e-06
1.534239848258029e-08	5.054965e-06
1.538146098258029e-08	-5.018142e-06
1.542052348258029e-08	4.981906e-06
1.545958598258029e-08	-4.946044e-06
1.549864848258029e-08	4.910750e-06
1.553771098258028e-08	-4.875813e-06
1.557677348258028e-08	4.841425e-06
1.561583598258028e-08	-4.807377e-06
1.565489848258028e-08	4.773861e-06
1.569396098258028e-08	-4.740668e-06
1.573302348258028e-08	4.707990e-06
1.577208598258028e-08	-4.675618e-06
1.581114848258028e-08	4.643747e-06
1.585021098258028e-08	-4.612166e-06
1.588927348258028e-08	4.581069e-06
1.592833598258028e-08	-4.550248e-06
1.596739848258028e-08	4.519898e-06
1.600646098258028e-08	-4.489808e-06
1.604552348258028e-08	4.460175e-06
1.605000000000000e-08	-4.215015e-06
1.605044765174197e-08	4.015297e-04
1.605134295522592e-08	6.281658e-04
1.605313356219381e-08	4.920057e-04
1.605671477612958e-08	5.593881e-04
1.606387720400114e-08	5.077149e-04
1.607799050640732e-08	1.534286e-03
1.609249589262392e-08	2.348838e-03
1.610847593642110e-08	3.833795e-03
1.614043602401544e-08	6.042600e-03
1.615000000000000e-08	6.947216e-03
1.615095639759846e-08	6.361406e-03
1.615286919279537e-08	6.109381e-03
1.615669478318919e-08	6.233605e-03
1.616434596397684e-08	6.024986e-03
1.617964832555214e-08	5.980728e-03
1.621025304870273e-08	5.444305e-03
1.624931554870273e-08	4.709264e-03
1.628837804870272e-08	3.497904e-03
1.632744054870272e-08	2.821615e-03
1.635466144094356e-08	2.250650e-03
1.638200444274869e-08	1.809388e-03
1.641046119473867e-08	1.186100e-03
1.644767251575793e-08	7.892399e-04
1.648409033853224e-08	3.955207e-04
1.652315283853224e-08	2.959036e-04
1.656221533853224e-08	9.823042e-05
1.660127783853224e-08	1.227596e-04
1.664034033853224e-08	3.797387e-06
1.667940283853224e-08	6.575051e-05
1.671846533853224e-08	-2.480162e-05
1.675752783853224e-08	4.615324e-05
1.679659033853224e-08	-3.244270e-05
1.683565283853223e-08	3.851873e-05
1.687471533853223e-08	-3.348509e-05
1.691377783853223e-08	3.474400e-05
1.695284033853223e-08	-3.249302e-05
1.699190283853223e-08	3.225708e-05
1.703096533853223e-08	-3.091886e-05
1.707002783853223e-08	3.024582e-05
1.710909033853223e-08	-2.922433e-05
1.714815283853223e-08	2.843949e-05
1.718721533853223e-08	-2.755081e-05
1.722627783853223e-08	2.675017e-05
1.726534033853223e-08	-2.592883e-05
1.730440283853223e-08	2.514703e-05
1.734346533853223e-08	-2.437012e-05
1.738252783853223e-08	2.361699e-05
1.742159033853223e-08	-2.287630e-05
1.746065283853223e-08	2.215392e-05
1.749971533853223e-08	-2.144589e-05
1.753877783853223e-08	2.075399e-05
1.757784033853223e-08	-2.007656e-05
1.761690283853223e-08	1.941413e-05
1.765596533853223e-08	-1.876578e-05
1.769502783853223e-08	1.813166e-05
1.773409033853223e-08	-1.751107e-05
1.777315283853223e-08	1.690405e-05
1.781221533853223e-08	-1.630999e-05
1.785127783853222e-08	1.572892e-05
1.789034033853222e-08	-1.516025e-05
1.792940283853222e-08	1.460756e-05
1.796846533853222e-08	-1.405165e-05
1.800752783853222e-08	1.353636e-05
1.804659033853222e-08	-1.299408e-05
1.808565283853222e-08	1.250626e-05
1.812471533853222e-08	-1.198384e-05
1.816377783853222e-08	1.151868e-05
1.820284033853222e-08	-1.101742e-05
1.824190283853222e-08	1.057281e-05
1.828096533853222e-08	-1.009249e-05
1.832002783853222e-08	9.667195e-06
1.835909033853222e-08	-9.207142e-06
1.839815283853222e-08	8.800215e-06
1.843721533853222e-08	-8.359656e-06
1.847627783853222e-08	7.970272e-06
1.851534033853222e-08	-7.548417e-06
1.855440283853222e-08	7.175817e-06
1.859346533853222e-08	-6.771897e-06
1.863252783853222e-08	6.415360e-06
1.867159033853222e-08	-6.028638e-06
1.871065283853222e-08	5.687481e-06
1.874971533853222e-08	-5.317248e-06
1.878877783853222e-08	4.990819e-06
1.882784033853222e-08	-4.636399e-06
1.886690283853222e-08	4.324075e-06
1.890596533853221e-08	-3.984822e-06
1.894502783853221e-08	3.686008e-06
1.898409033853221e-08	-3.361304e-06
1.902315283853221e-08	3.075432e-06
1.906221533853221e-08	-2.764685e-06
1.910127783853221e-08	2.491214e-06
1.914034033853221e-08	-2.193859e-06
1.917940283853221e-08	1.932270e-06
1.921846533853221e-08	-1.647766e-06
1.925752783853221e-08	1.397565e-06
1.929659033853221e-08	-1.125394e-06
1.933565283853221e-08	8.861079e-07
1.937471533853221e-08	-6.257768e-07
1.941377783853221e-08	3.969533e-07
1.945284033853221e-08	-1.479880e-07
1.949190283853221e-08	-7.080467e-08
1.953096533853221e-08	3.088572e-07
1.957002783853221e-08	-5.180314e-07
1.960909033853221e-08	7.456149e-07
1.964815283853221e-08	-9.455342e-07
1.968721533853221e-08	1.163107e-06
1.972627783853221e-08	-1.354119e-06
1.976534033853221e-08	1.562090e-06
1.980440283853221e-08	-1.744554e-06
1.984346533853221e-08	1.943305e-06
1.988252783853221e-08	-2.117564e-06
1.992159033853221e-08	2.307459e-06
1.996065283853220e-08	-2.473845e-06
1.999971533853220e-08	2.655230e-06
2.003877783853220e-08	-2.814060e-06
2.007784033853220e-08	2.987270e-06
2.011690283853220e-08	-3.138847e-06
2.015596533853220e-08	3.304200e-06
2.019502783853220e-08	-3.448814e-06
2.023409033853220e-08	3.606616e-06
2.027315283853220e-08	-3.744544e-06
2.031221533853220e-08	3.895088e-06
2.035127783853220e-08	-4.026597e-06
2.039034033853220e-08	4.170163e-06
2.042940283853220e-08	-4.295508e-06
2.046846533853220e-08	4.432364e-06
2.050752783853220e-08	-4.551788e-06
2.054659033853220e-08	4.682194e-06
2.058565283853220e-08	-4.795930e-06
2.062471533853220e-08	4.920132e-06
2.066377783853220e-08	-5.028405e-06
2.070284033853220e-08	5.146640e-06
2.074190283853220e-08	-5.249664e-06
2.078096533853220e-08	5.362158e-06
2.082002783853220e-08	-5.460138e-06
