time	V(vout)	Ix(xinv_20_1@0:y_c17530)
8.191592851463716e-09	4.999909e+00	4.969159e-06
8.230655351463715e-09	5.000080e+00	-4.910050e-06
8.269717851463715e-09	4.999912e+00	4.839911e-06
8.308780351463715e-09	5.000078e+00	-4.782053e-06
8.347842851463714e-09	4.999915e+00	4.713474e-06
8.386905351463714e-09	5.000075e+00	-4.656856e-06
8.425967851463714e-09	4.999917e+00	4.589815e-06
8.465030351463713e-09	5.000073e+00	-4.534422e-06
8.504092851463713e-09	4.999919e+00	4.468898e-06
8.543155351463712e-09	5.000072e+00	-4.414715e-06
8.582217851463712e-09	4.999921e+00	4.350685e-06
8.621280351463712e-09	5.000069e+00	-4.297698e-06
8.660342851463711e-09	4.999924e+00	4.235138e-06
8.699405351463711e-09	5.000067e+00	-4.183330e-06
8.738467851463711e-09	4.999926e+00	4.122217e-06
8.777530351463710e-09	5.000066e+00	-4.071573e-06
8.816592851463710e-09	4.999928e+00	4.011881e-06
8.855655351463710e-09	5.000064e+00	-3.962384e-06
8.894717851463709e-09	4.999930e+00	3.904091e-06
8.933780351463709e-09	5.000062e+00	-3.855722e-06
8.972842851463708e-09	4.999932e+00	3.798803e-06
9.011905351463708e-09	5.000060e+00	-3.751547e-06
9.050967851463708e-09	4.999934e+00	3.695976e-06
9.090030351463707e-09	5.000059e+00	-3.649814e-06
9.129092851463707e-09	4.999935e+00	3.595568e-06
9.168155351463707e-09	5.000057e+00	-3.550482e-06
9.207217851463706e-09	4.999937e+00	3.497536e-06
9.246280351463706e-09	5.000055e+00	-3.453507e-06
9.285342851463705e-09	4.999939e+00	3.401837e-06
9.324405351463705e-09	5.000054e+00	-3.358847e-06
9.363467851463705e-09	4.999940e+00	3.308428e-06
9.402530351463704e-09	5.000052e+00	-3.266459e-06
9.441592851463704e-09	4.999942e+00	3.217265e-06
9.480655351463704e-09	5.000051e+00	-3.176299e-06
9.519717851463703e-09	4.999944e+00	3.128307e-06
9.558780351463703e-09	5.000050e+00	-3.088324e-06
9.597842851463702e-09	4.999945e+00	3.041510e-06
9.636905351463702e-09	5.000048e+00	-3.002492e-06
9.675967851463702e-09	4.999947e+00	2.956832e-06
9.715030351463701e-09	5.000047e+00	-2.918760e-06
9.754092851463701e-09	4.999948e+00	2.874230e-06
9.793155351463701e-09	5.000046e+00	-2.837086e-06
9.832217851463700e-09	4.999949e+00	2.793663e-06
9.871280351463700e-09	5.000044e+00	-2.757428e-06
9.910342851463699e-09	4.999951e+00	2.715087e-06
9.949405351463699e-09	5.000043e+00	-2.679744e-06
9.988467851463699e-09	4.999952e+00	2.638463e-06
1.002753035146370e-08	5.000042e+00	-2.603993e-06
1.006659285146370e-08	4.999954e+00	2.563749e-06
1.010565535146370e-08	5.000041e+00	-2.530134e-06
1.014471785146370e-08	4.999955e+00	2.490904e-06
1.018378035146370e-08	5.000040e+00	-2.458126e-06
1.022284285146370e-08	4.999956e+00	2.419888e-06
1.026190535146370e-08	5.000039e+00	-2.387929e-06
1.030096785146370e-08	4.999958e+00	2.350661e-06
1.034003035146370e-08	5.000038e+00	-2.319505e-06
1.037909285146369e-08	4.999959e+00	2.283185e-06
1.041815535146369e-08	5.000037e+00	-2.252814e-06
1.045721785146369e-08	4.999959e+00	2.217421e-06
1.049628035146369e-08	5.000036e+00	-2.187817e-06
1.053534285146369e-08	4.999961e+00	2.153331e-06
1.057440535146369e-08	5.000034e+00	-2.124478e-06
1.061346785146369e-08	4.999962e+00	2.090876e-06
1.065253035146369e-08	5.000033e+00	-2.062757e-06
1.069159285146369e-08	4.999963e+00	2.030021e-06
1.073065535146369e-08	5.000033e+00	-2.002620e-06
1.076971785146369e-08	4.999964e+00	1.970729e-06
1.080000000000000e-08	5.000031e+00	-1.935770e-06
1.080302821485363e-08	5.008144e+00	-8.263144e-05
1.080908464456089e-08	5.024666e+00	-9.050421e-05
1.082119750397542e-08	5.051650e+00	-5.390714e-05
1.083964203502352e-08	5.044859e+00	7.349779e-05
1.086400264594922e-08	4.935183e+00	2.124349e-04
1.088876131075387e-08	4.684159e+00	4.297468e-04
1.090000000000000e-08	4.509060e+00	5.489003e-04
1.090112386892461e-08	4.487895e+00	5.887500e-04
1.090337160677384e-08	4.445488e+00	6.001170e-04
1.090786708247229e-08	4.362395e+00	5.986126e-04
1.091685803386919e-08	4.208138e+00	6.236469e-04
1.093483993666299e-08	3.915235e+00	6.132545e-04
1.096291537629271e-08	3.476619e+00	6.291943e-04
1.100197787629271e-08	2.894587e+00	6.104038e-04
1.104104037629271e-08	2.348113e+00	6.147395e-04
1.108010287629271e-08	1.871971e+00	5.896100e-04
1.111916537629271e-08	1.471736e+00	5.547264e-04
1.114891652283807e-08	1.211278e+00	4.796941e-04
1.118294318732651e-08	9.097433e-01	3.591099e-04
1.121915808773207e-08	6.383174e-01	2.691240e-04
1.125695268909390e-08	4.201516e-01	1.677621e-04
1.129601518909390e-08	2.653232e-01	1.204943e-04
1.133507768909390e-08	1.666530e-01	6.455566e-05
1.137414018909390e-08	1.039867e-01	5.251178e-05
1.141320268909390e-08	6.508661e-02	2.124210e-05
1.145226518909390e-08	4.029591e-02	2.471650e-05
1.149132768909390e-08	2.530076e-02	4.127326e-06
1.153039018909390e-08	1.549993e-02	1.365783e-05
1.156945268909390e-08	9.860133e-03	-2.420496e-06
1.160851518909390e-08	5.907434e-03	9.239436e-06
1.164757768909390e-08	3.889748e-03	-4.832523e-06
1.168664018909390e-08	2.203256e-03	7.407485e-06
1.172570268909390e-08	1.580453e-03	-5.644621e-06
1.176476518909390e-08	7.751255e-04	6.581167e-06
1.180382768909390e-08	6.867314e-04	-5.841099e-06
1.184289018909390e-08	2.255842e-04	6.146115e-06
1.188195268909390e-08	3.382846e-04	-5.803917e-06
1.192101518909390e-08	1.534450e-05	5.866372e-06
1.196007768909390e-08	2.014471e-04	-5.679558e-06
1.199914018909390e-08	-6.354700e-05	5.651504e-06
1.203820268909390e-08	1.474821e-04	-5.526737e-06
1.207726518909390e-08	-9.123163e-05	5.466142e-06
1.211632768909390e-08	1.249683e-04	-5.366502e-06
1.215539018909390e-08	-9.956845e-05	5.295167e-06
1.219445268909390e-08	1.152872e-04	-5.205681e-06
1.223351518909389e-08	-9.909798e-05	5.133366e-06
1.227257768909389e-08	1.102248e-04	-5.048372e-06
1.231164018909389e-08	-9.699390e-05	4.977158e-06
1.235070268909389e-08	1.062416e-04	-4.895420e-06
1.238976518909389e-08	-9.436777e-05	4.825936e-06
1.242882768909389e-08	1.027422e-04	-4.746929e-06
1.246789018909389e-08	-9.159825e-05	4.679377e-06
1.250695268909389e-08	9.949054e-05	-4.602855e-06
1.254601518909389e-08	-8.882893e-05	4.537276e-06
1.258507768909389e-08	9.639385e-05	-4.463102e-06
1.262414018909389e-08	-8.611325e-05	4.399474e-06
1.266320268909389e-08	9.341467e-05	-4.327554e-06
1.270226518909389e-08	-8.347005e-05	4.265833e-06
1.274132768909389e-08	9.053676e-05	-4.196089e-06
1.278039018909389e-08	-8.090497e-05	4.136224e-06
1.281945268909389e-08	8.775213e-05	-4.068589e-06
1.285851518909389e-08	-7.841857e-05	4.010526e-06
1.289757768909389e-08	8.505602e-05	-3.944934e-06
1.293664018909389e-08	-7.600955e-05	3.888621e-06
1.297570268909389e-08	8.244493e-05	-3.825010e-06
1.301476518909389e-08	-7.367592e-05	3.770396e-06
1.305382768909389e-08	7.991594e-05	-3.708707e-06
1.309289018909389e-08	-7.141550e-05	3.655739e-06
1.313195268909389e-08	7.746635e-05	-3.595913e-06
1.317101518909389e-08	-6.922604e-05	3.544543e-06
1.321007768909389e-08	7.509365e-05	-3.486525e-06
1.324914018909389e-08	-6.710535e-05	3.436705e-06
1.328820268909388e-08	7.279541e-05	-3.380441e-06
1.332726518909388e-08	-6.505127e-05	3.332124e-06
1.336632768909388e-08	7.056928e-05	-3.277559e-06
1.340539018909388e-08	-6.306170e-05	3.230701e-06
1.344445268909388e-08	6.841300e-05	-3.177786e-06
1.348351518909388e-08	-6.113463e-05	3.132342e-06
1.352257768909388e-08	6.632438e-05	-3.081026e-06
1.356164018909388e-08	-5.926810e-05	3.036954e-06
1.360070268909388e-08	6.430130e-05	-2.987189e-06
1.363976518909388e-08	-5.746018e-05	2.944448e-06
1.367882768909388e-08	6.234171e-05	-2.896187e-06
1.371789018909388e-08	-5.570906e-05	2.854736e-06
1.375695268909388e-08	6.044360e-05	-2.807934e-06
1.379601518909388e-08	-5.401293e-05	2.767735e-06
1.383507768909388e-08	5.860504e-05	-2.722348e-06
1.387414018909388e-08	-5.237007e-05	2.683363e-06
1.391320268909388e-08	5.682418e-05	-2.639347e-06
1.395226518909388e-08	-5.077881e-05	2.601540e-06
1.399132768909388e-08	5.509920e-05	-2.558854e-06
1.403039018909388e-08	-4.923751e-05	2.522188e-06
1.406945268909388e-08	5.342834e-05	-2.480792e-06
1.410851518909388e-08	-4.774462e-05	2.445234e-06
1.414757768909388e-08	5.180990e-05	-2.405089e-06
1.418664018909388e-08	-4.629860e-05	2.370605e-06
1.422570268909388e-08	5.024223e-05	-2.331672e-06
1.426476518909388e-08	-4.489799e-05	2.298229e-06
