time	V(vin)	V(vout)
5.850000000000000e-09	3.907985e-14	8.500050e-01
5.852921581734901e-09	0.000000e+00	9.274585e-01
5.858764745204702e-09	0.000000e+00	1.080930e+00
5.870451072144306e-09	0.000000e+00	1.377542e+00
5.893823726023514e-09	0.000000e+00	1.937502e+00
5.932148925650821e-09	0.000000e+00	2.755865e+00
5.971211425650821e-09	0.000000e+00	3.434939e+00
6.010273925650821e-09	0.000000e+00	3.883426e+00
6.044210595446656e-09	0.000000e+00	4.133098e+00
6.071428017830706e-09	0.000000e+00	4.312253e+00
6.102442881911288e-09	0.000000e+00	4.525843e+00
6.133746031321690e-09	0.000000e+00	4.692807e+00
6.168132521041731e-09	0.000000e+00	4.812369e+00
6.207195021041730e-09	0.000000e+00	4.894118e+00
6.246257521041730e-09	0.000000e+00	4.940076e+00
6.285320021041729e-09	0.000000e+00	4.966404e+00
6.324382521041729e-09	0.000000e+00	4.980883e+00
6.363445021041729e-09	0.000000e+00	4.989414e+00
6.402507521041728e-09	0.000000e+00	4.993859e+00
6.441570021041728e-09	0.000000e+00	4.996720e+00
6.480632521041728e-09	0.000000e+00	4.997976e+00
6.519695021041727e-09	0.000000e+00	4.999035e+00
6.558757521041727e-09	0.000000e+00	4.999284e+00
6.597820021041726e-09	0.000000e+00	4.999767e+00
6.636882521041726e-09	0.000000e+00	4.999700e+00
6.675945021041726e-09	0.000000e+00	4.999998e+00
6.715007521041725e-09	0.000000e+00	4.999834e+00
6.754070021041725e-09	0.000000e+00	5.000070e+00
6.793132521041725e-09	0.000000e+00	4.999876e+00
6.832195021041724e-09	0.000000e+00	5.000090e+00
6.871257521041724e-09	0.000000e+00	4.999891e+00
6.910320021041723e-09	0.000000e+00	5.000094e+00
6.949382521041723e-09	0.000000e+00	4.999896e+00
6.988445021041723e-09	0.000000e+00	5.000093e+00
7.027507521041722e-09	0.000000e+00	4.999898e+00
7.066570021041722e-09	0.000000e+00	5.000090e+00
7.105632521041722e-09	0.000000e+00	4.999900e+00
7.144695021041721e-09	0.000000e+00	5.000088e+00
7.183757521041721e-09	0.000000e+00	4.999902e+00
7.222820021041720e-09	0.000000e+00	5.000086e+00
7.261882521041720e-09	0.000000e+00	4.999905e+00
7.300945021041720e-09	0.000000e+00	5.000084e+00
7.340007521041719e-09	0.000000e+00	4.999907e+00
7.379070021041719e-09	0.000000e+00	5.000082e+00
7.418132521041719e-09	0.000000e+00	4.999909e+00
7.457195021041719e-09	0.000000e+00	5.000081e+00
7.496257521041719e-09	0.000000e+00	4.999911e+00
7.535320021041718e-09	0.000000e+00	5.000079e+00
7.574382521041718e-09	0.000000e+00	4.999913e+00
7.613445021041718e-09	0.000000e+00	5.000077e+00
7.652507521041717e-09	0.000000e+00	4.999915e+00
7.691570021041717e-09	0.000000e+00	5.000075e+00
7.730632521041716e-09	0.000000e+00	4.999917e+00
7.769695021041716e-09	0.000000e+00	5.000074e+00
7.808757521041716e-09	0.000000e+00	4.999918e+00
7.847820021041715e-09	0.000000e+00	5.000072e+00
7.886882521041715e-09	0.000000e+00	4.999920e+00
7.925945021041715e-09	0.000000e+00	5.000071e+00
7.965007521041714e-09	0.000000e+00	4.999922e+00
8.004070021041714e-09	0.000000e+00	5.000069e+00
8.043132521041713e-09	0.000000e+00	4.999924e+00
8.082195021041713e-09	0.000000e+00	5.000068e+00
8.121257521041713e-09	0.000000e+00	4.999925e+00
8.160320021041712e-09	0.000000e+00	5.000066e+00
8.199382521041712e-09	0.000000e+00	4.999927e+00
8.238445021041712e-09	0.000000e+00	5.000065e+00
8.277507521041711e-09	0.000000e+00	4.999928e+00
8.316570021041711e-09	0.000000e+00	5.000063e+00
8.355632521041710e-09	0.000000e+00	4.999930e+00
8.394695021041710e-09	0.000000e+00	5.000062e+00
8.433757521041710e-09	0.000000e+00	4.999931e+00
8.472820021041709e-09	0.000000e+00	5.000061e+00
8.511882521041709e-09	0.000000e+00	4.999933e+00
8.550945021041709e-09	0.000000e+00	5.000059e+00
8.590007521041708e-09	0.000000e+00	4.999934e+00
8.629070021041708e-09	0.000000e+00	5.000058e+00
8.668132521041707e-09	0.000000e+00	4.999936e+00
8.707195021041707e-09	0.000000e+00	5.000057e+00
8.746257521041707e-09	0.000000e+00	4.999937e+00
8.785320021041706e-09	0.000000e+00	5.000055e+00
8.824382521041706e-09	0.000000e+00	4.999938e+00
8.863445021041706e-09	0.000000e+00	5.000054e+00
8.902507521041705e-09	0.000000e+00	4.999940e+00
8.941570021041705e-09	0.000000e+00	5.000053e+00
8.980632521041704e-09	0.000000e+00	4.999941e+00
9.019695021041704e-09	0.000000e+00	5.000052e+00
9.058757521041704e-09	0.000000e+00	4.999942e+00
9.097820021041703e-09	0.000000e+00	5.000051e+00
9.136882521041703e-09	0.000000e+00	4.999944e+00
9.175945021041703e-09	0.000000e+00	5.000050e+00
9.215007521041702e-09	0.000000e+00	4.999945e+00
9.254070021041702e-09	0.000000e+00	5.000049e+00
9.293132521041701e-09	0.000000e+00	4.999946e+00
9.332195021041701e-09	0.000000e+00	5.000048e+00
9.371257521041701e-09	0.000000e+00	4.999947e+00
9.410320021041700e-09	0.000000e+00	5.000047e+00
9.449382521041700e-09	0.000000e+00	4.999948e+00
9.488445021041700e-09	0.000000e+00	5.000046e+00
9.527507521041699e-09	0.000000e+00	4.999949e+00
9.566570021041699e-09	0.000000e+00	5.000045e+00
9.605632521041698e-09	0.000000e+00	4.999950e+00
9.644695021041698e-09	0.000000e+00	5.000044e+00
9.683757521041698e-09	0.000000e+00	4.999951e+00
9.722820021041697e-09	0.000000e+00	5.000043e+00
9.761882521041697e-09	0.000000e+00	4.999952e+00
9.800945021041697e-09	0.000000e+00	5.000042e+00
9.840007521041696e-09	0.000000e+00	4.999953e+00
9.879070021041696e-09	0.000000e+00	5.000041e+00
9.918132521041695e-09	0.000000e+00	4.999954e+00
9.957195021041695e-09	0.000000e+00	5.000040e+00
9.996257521041695e-09	0.000000e+00	4.999955e+00
1.003532002104169e-08	0.000000e+00	5.000040e+00
1.007438252104169e-08	0.000000e+00	4.999956e+00
1.011344502104169e-08	0.000000e+00	5.000039e+00
1.015250752104169e-08	0.000000e+00	4.999957e+00
1.019157002104169e-08	0.000000e+00	5.000038e+00
1.023063252104169e-08	0.000000e+00	4.999958e+00
1.026969502104169e-08	0.000000e+00	5.000037e+00
1.030875752104169e-08	0.000000e+00	4.999959e+00
1.034782002104169e-08	0.000000e+00	5.000036e+00
1.038688252104169e-08	0.000000e+00	4.999960e+00
1.042594502104169e-08	0.000000e+00	5.000035e+00
1.046500752104169e-08	0.000000e+00	4.999960e+00
1.050407002104169e-08	0.000000e+00	5.000035e+00
1.054313252104169e-08	0.000000e+00	4.999961e+00
1.058219502104169e-08	0.000000e+00	5.000034e+00
1.062125752104169e-08	0.000000e+00	4.999962e+00
1.066032002104169e-08	0.000000e+00	5.000033e+00
1.069938252104169e-08	0.000000e+00	4.999963e+00
1.073844502104169e-08	0.000000e+00	5.000032e+00
1.077750752104169e-08	0.000000e+00	4.999964e+00
1.080000000000000e-08	0.000000e+00	5.000031e+00
1.080224924789583e-08	1.124624e-01	5.005812e+00
1.080674774368749e-08	3.373872e-01	5.017832e+00
1.081574473527082e-08	7.872368e-01	5.040803e+00
1.083317727843751e-08	1.658864e+00	5.055064e+00
1.085728623361063e-08	2.864312e+00	4.979700e+00
1.088363673656873e-08	4.181837e+00	4.762522e+00
1.090000000000000e-08	5.000000e+00	4.529627e+00
1.090163632634313e-08	5.000000e+00	4.500195e+00
1.090490897902938e-08	5.000000e+00	4.441309e+00
1.091145428440189e-08	5.000000e+00	4.327372e+00
1.092454489514691e-08	5.000000e+00	4.117115e+00
1.095072611663695e-08	5.000000e+00	3.715156e+00
1.098190411879590e-08	5.000000e+00	3.256791e+00
1.102096661879590e-08	5.000000e+00	2.707707e+00
1.106002911879589e-08	5.000000e+00	2.197321e+00
1.109909161879589e-08	5.000000e+00	1.763542e+00
1.113815411879589e-08	5.000000e+00	1.395394e+00
1.116887433892491e-08	5.000000e+00	1.126228e+00
1.120177348258033e-08	5.000000e+00	8.497964e-01
1.124083598258033e-08	5.000000e+00	5.820432e-01
1.127989848258033e-08	5.000000e+00	3.804899e-01
1.131896098258033e-08	5.000000e+00	2.448513e-01
1.135802348258032e-08	5.000000e+00	1.565150e-01
1.139708598258032e-08	5.000000e+00	9.977438e-02
1.143614848258032e-08	5.000000e+00	6.337687e-02
1.147521098258032e-08	5.000000e+00	4.028274e-02
1.151427348258032e-08	5.000000e+00	2.549240e-02
1.155333598258032e-08	5.000000e+00	1.621150e-02
1.159239848258032e-08	5.000000e+00	1.022691e-02
1.163146098258032e-08	5.000000e+00	6.530051e-03
1.167052348258032e-08	5.000000e+00	4.091854e-03
1.170958598258032e-08	5.000000e+00	2.639138e-03
1.174864848258032e-08	5.000000e+00	1.627865e-03
1.178771098258032e-08	5.000000e+00	1.075397e-03
1.182677348258032e-08	5.000000e+00	6.388439e-04
1.186583598258032e-08	5.000000e+00	4.465785e-04
1.190489848258032e-08	5.000000e+00	2.424531e-04
1.194396098258032e-08	5.000000e+00	1.935741e-04
1.198302348258032e-08	5.000000e+00	8.394460e-05
1.202208598258032e-08	5.000000e+00	9.190175e-05
1.206114848258032e-08	5.000000e+00	2.207240e-05
1.210021098258032e-08	5.000000e+00	5.050236e-05
1.213927348258032e-08	5.000000e+00	-2.668887e-06
1.217833598258032e-08	5.000000e+00	3.296441e-05
1.221739848258032e-08	5.000000e+00	-1.218278e-05
1.225646098258032e-08	5.000000e+00	2.531957e-05
1.229552348258032e-08	5.000000e+00	-1.541644e-05
1.233458598258032e-08	5.000000e+00	2.164330e-05
1.237364848258032e-08	5.000000e+00	-1.615780e-05
1.241271098258031e-08	5.000000e+00	1.957280e-05
1.245177348258031e-08	5.000000e+00	-1.592048e-05
1.249083598258031e-08	5.000000e+00	1.816315e-05
1.252989848258031e-08	5.000000e+00	-1.530891e-05
1.256896098258031e-08	5.000000e+00	1.703607e-05
1.260802348258031e-08	5.000000e+00	-1.456416e-05
1.264708598258031e-08	5.000000e+00	1.603984e-05
1.268614848258031e-08	5.000000e+00	-1.378211e-05
1.272521098258031e-08	5.000000e+00	1.511328e-05
1.276427348258031e-08	5.000000e+00	-1.300060e-05
1.280333598258031e-08	5.000000e+00	1.423141e-05
1.284239848258031e-08	5.000000e+00	-1.223428e-05
1.288146098258031e-08	5.000000e+00	1.338375e-05
1.292052348258031e-08	5.000000e+00	-1.148857e-05
1.295958598258031e-08	5.000000e+00	1.256561e-05
1.299864848258031e-08	5.000000e+00	-1.076520e-05
1.303771098258031e-08	5.000000e+00	1.177465e-05
1.307677348258031e-08	5.000000e+00	-1.006443e-05
1.311583598258031e-08	5.000000e+00	1.100948e-05
1.315489848258031e-08	5.000000e+00	-9.385963e-06
1.319396098258031e-08	5.000000e+00	1.026908e-05
1.323302348258031e-08	5.000000e+00	-8.729281e-06
1.327208598258031e-08	5.000000e+00	9.552631e-06
1.331114848258031e-08	5.000000e+00	-8.093790e-06
1.335021098258031e-08	5.000000e+00	8.859366e-06
1.338927348258031e-08	5.000000e+00	-7.478880e-06
1.342833598258030e-08	5.000000e+00	8.188580e-06
1.346739848258030e-08	5.000000e+00	-6.883944e-06
1.350646098258030e-08	5.000000e+00	7.539595e-06
1.354552348258030e-08	5.000000e+00	-6.308386e-06
1.358458598258030e-08	5.000000e+00	6.911755e-06
1.362364848258030e-08	5.000000e+00	-5.751630e-06
1.366271098258030e-08	5.000000e+00	6.304425e-06
1.370177348258030e-08	5.000000e+00	-5.213111e-06
1.374083598258030e-08	5.000000e+00	5.716992e-06
1.377989848258030e-08	5.000000e+00	-4.692284e-06
1.381896098258030e-08	5.000000e+00	5.148859e-06
1.385802348258030e-08	5.000000e+00	-4.188618e-06
1.389708598258030e-08	5.000000e+00	4.599447e-06
1.393614848258030e-08	5.000000e+00	-3.701599e-06
1.397521098258030e-08	5.000000e+00	4.068196e-06
1.401427348258030e-08	5.000000e+00	-3.230729e-06
1.405333598258030e-08	5.000000e+00	3.554560e-06
1.409239848258030e-08	5.000000e+00	-2.775522e-06
1.413146098258030e-08	5.000000e+00	3.058013e-06
1.417052348258030e-08	5.000000e+00	-2.335509e-06
1.420958598258030e-08	5.000000e+00	2.578041e-06
1.424864848258030e-08	5.000000e+00	-1.910235e-06
1.428771098258030e-08	5.000000e+00	2.114147e-06
1.432677348258030e-08	5.000000e+00	-1.499257e-06
1.436583598258030e-08	5.000000e+00	1.665850e-06
1.440489848258030e-08	5.000000e+00	-1.102146e-06
1.444396098258030e-08	5.000000e+00	1.232680e-06
1.448302348258029e-08	5.000000e+00	-7.184860e-07
1.452208598258029e-08	5.000000e+00	8.141836e-07
1.456114848258029e-08	5.000000e+00	-3.478729e-07
1.460021098258029e-08	5.000000e+00	4.099206e-07
1.463927348258029e-08	5.000000e+00	1.008520e-08
1.467833598258029e-08	5.000000e+00	1.962268e-08
1.471739848258029e-08	5.000000e+00	3.558650e-07
1.475646098258029e-08	5.000000e+00	-3.491464e-07
1.479552348258029e-08	5.000000e+00	7.084478e-07
1.483458598258029e-08	5.000000e+00	-6.880643e-07
1.487364848258029e-08	5.000000e+00	1.057120e-06
1.491271098258029e-08	5.000000e+00	-1.012537e-06
1.495177348258029e-08	5.000000e+00	1.395435e-06
1.499083598258029e-08	5.000000e+00	-1.324602e-06
1.502989848258029e-08	5.000000e+00	1.722640e-06
1.506896098258029e-08	5.000000e+00	-1.625312e-06
1.510802348258029e-08	5.000000e+00	2.038646e-06
1.514708598258029e-08	5.000000e+00	-1.915281e-06
1.518614848258029e-08	5.000000e+00	2.343623e-06
1.522521098258029e-08	5.000000e+00	-2.194942e-06
1.526427348258029e-08	5.000000e+00	2.637833e-06
1.530333598258029e-08	5.000000e+00	-2.464650e-06
1.534239848258029e-08	5.000000e+00	2.921576e-06
1.538146098258029e-08	5.000000e+00	-2.724721e-06
1.542052348258029e-08	5.000000e+00	3.195156e-06
1.545958598258029e-08	5.000000e+00	-2.975452e-06
1.549864848258029e-08	5.000000e+00	3.458874e-06
1.553771098258028e-08	5.000000e+00	-3.217130e-06
1.557677348258028e-08	5.000000e+00	3.713028e-06
1.561583598258028e-08	5.000000e+00	-3.450028e-06
1.565489848258028e-08	5.000000e+00	3.957906e-06
1.569396098258028e-08	5.000000e+00	-3.674412e-06
1.573302348258028e-08	5.000000e+00	4.193787e-06
1.577208598258028e-08	5.000000e+00	-3.890540e-06
1.581114848258028e-08	5.000000e+00	4.420945e-06
1.585021098258028e-08	5.000000e+00	-4.098662e-06
1.588927348258028e-08	5.000000e+00	4.639642e-06
1.592833598258028e-08	5.000000e+00	-4.299020e-06
1.596739848258028e-08	5.000000e+00	4.850135e-06
1.600646098258028e-08	5.000000e+00	-4.491850e-06
1.604552348258028e-08	5.000000e+00	5.052673e-06
1.605000000000000e-08	5.000000e+00	-5.318188e-06
1.605044765174197e-08	4.977617e+00	-8.485752e-04
1.605134295522592e-08	4.932852e+00	-2.697797e-03
1.605313356219381e-08	4.843322e+00	-6.323047e-03
1.605671477612958e-08	4.664261e+00	-1.326390e-02
1.606387720400114e-08	4.306140e+00	-2.687000e-02
1.607799050640732e-08	3.600475e+00	-3.763117e-02
1.609249589262392e-08	2.875205e+00	7.003780e-03
1.610847593642110e-08	2.076203e+00	1.266479e-01
1.614043602401544e-08	4.781988e-01	6.411715e-01
1.615000000000000e-08	3.907985e-14	8.632683e-01
1.615095639759846e-08	0.000000e+00	8.885642e-01
1.615286919279537e-08	0.000000e+00	9.394077e-01
1.615669478318919e-08	0.000000e+00	1.039961e+00
1.616434596397684e-08	0.000000e+00	1.236365e+00
1.617964832555214e-08	0.000000e+00	1.614128e+00
1.621025304870273e-08	0.000000e+00	2.315265e+00
1.624931554870273e-08	0.000000e+00	3.086066e+00
1.628837804870272e-08	0.000000e+00	3.667325e+00
1.632744054870272e-08	0.000000e+00	4.024899e+00
1.635466144094356e-08	0.000000e+00	4.200030e+00
1.638200444274869e-08	0.000000e+00	4.391084e+00
1.641046119473867e-08	0.000000e+00	4.577900e+00
1.644767251575793e-08	0.000000e+00	4.750663e+00
1.648409033853224e-08	0.000000e+00	4.852743e+00
1.652315283853224e-08	0.000000e+00	4.917075e+00
1.656221533853224e-08	0.000000e+00	4.953013e+00
1.660127783853224e-08	0.000000e+00	4.973734e+00
1.664034033853224e-08	0.000000e+00	4.984989e+00
1.667940283853224e-08	0.000000e+00	4.991759e+00
1.671846533853224e-08	0.000000e+00	4.995149e+00
1.675752783853224e-08	0.000000e+00	4.997473e+00
1.679659033853224e-08	0.000000e+00	4.998375e+00
1.683565283853223e-08	0.000000e+00	4.999283e+00
1.687471533853223e-08	0.000000e+00	4.999401e+00
1.691377783853223e-08	0.000000e+00	4.999855e+00
1.695284033853223e-08	0.000000e+00	4.999730e+00
1.699190283853223e-08	0.000000e+00	5.000033e+00
1.703096533853223e-08	0.000000e+00	4.999835e+00
1.707002783853223e-08	0.000000e+00	5.000087e+00
1.710909033853223e-08	0.000000e+00	4.999870e+00
1.714815283853223e-08	0.000000e+00	5.000102e+00
1.718721533853223e-08	0.000000e+00	4.999886e+00
1.722627783853223e-08	0.000000e+00	5.000104e+00
1.726534033853223e-08	0.000000e+00	4.999893e+00
1.730440283853223e-08	0.000000e+00	5.000103e+00
1.734346533853223e-08	0.000000e+00	4.999897e+00
1.738252783853223e-08	0.000000e+00	5.000100e+00
1.742159033853223e-08	0.000000e+00	4.999901e+00
1.746065283853223e-08	0.000000e+00	5.000097e+00
1.749971533853223e-08	0.000000e+00	4.999904e+00
1.753877783853223e-08	0.000000e+00	5.000094e+00
1.757784033853223e-08	0.000000e+00	4.999907e+00
1.761690283853223e-08	0.000000e+00	5.000091e+00
1.765596533853223e-08	0.000000e+00	4.999911e+00
1.769502783853223e-08	0.000000e+00	5.000088e+00
1.773409033853223e-08	0.000000e+00	4.999914e+00
1.777315283853223e-08	0.000000e+00	5.000085e+00
1.781221533853223e-08	0.000000e+00	4.999917e+00
1.785127783853222e-08	0.000000e+00	5.000082e+00
1.789034033853222e-08	0.000000e+00	4.999919e+00
1.792940283853222e-08	0.000000e+00	5.000078e+00
1.796846533853222e-08	0.000000e+00	4.999920e+00
1.800752783853222e-08	0.000000e+00	5.000073e+00
1.804659033853222e-08	0.000000e+00	4.999922e+00
1.808565283853222e-08	0.000000e+00	5.000070e+00
1.812471533853222e-08	0.000000e+00	4.999924e+00
1.816377783853222e-08	0.000000e+00	5.000068e+00
1.820284033853222e-08	0.000000e+00	4.999927e+00
1.824190283853222e-08	0.000000e+00	5.000065e+00
1.828096533853222e-08	0.000000e+00	4.999929e+00
1.832002783853222e-08	0.000000e+00	5.000063e+00
1.835909033853222e-08	0.000000e+00	4.999932e+00
1.839815283853222e-08	0.000000e+00	5.000061e+00
1.843721533853222e-08	0.000000e+00	4.999934e+00
1.847627783853222e-08	0.000000e+00	5.000058e+00
1.851534033853222e-08	0.000000e+00	4.999937e+00
1.855440283853222e-08	0.000000e+00	5.000056e+00
1.859346533853222e-08	0.000000e+00	4.999939e+00
1.863252783853222e-08	0.000000e+00	5.000054e+00
1.867159033853222e-08	0.000000e+00	4.999941e+00
1.871065283853222e-08	0.000000e+00	5.000052e+00
1.874971533853222e-08	0.000000e+00	4.999943e+00
