time	V(clk)	V(clkb)	V(ind)	V(outq)
1.556719203330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999936e+00
1.560625453330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999959e+00
1.564531703330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999966e+00
1.568437953330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999981e+00
1.572344203330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999981e+00
1.576250453330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999992e+00
1.580156703330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999989e+00
1.584062953330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999997e+00
1.587969203330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999993e+00
1.591875453330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.595781703330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999995e+00
1.599687953330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000001e+00
1.603594203330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999996e+00
1.607500453330634e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000002e+00
1.610000000000000e-08	0.000000e+00	5.000000e+00	5.000000e+00	4.999997e+00
1.610249954666937e-08	0.000000e+00	5.000000e+00	4.875023e+00	4.999999e+00
1.610749864000810e-08	0.000000e+00	5.000000e+00	4.625068e+00	4.999999e+00
1.611749682668557e-08	0.000000e+00	5.000000e+00	4.125159e+00	4.999999e+00
1.613749320004050e-08	0.000000e+00	5.000000e+00	3.125340e+00	5.000000e+00
1.615771682035519e-08	0.000000e+00	5.000000e+00	2.114159e+00	5.000000e+00
1.618039324981476e-08	0.000000e+00	5.000000e+00	9.803375e-01	5.000000e+00
1.620000000000000e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.620196067501853e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.620588202505558e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.621372472512967e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.622881065016915e-08	0.000000e+00	5.000000e+00	0.000000e+00	4.999999e+00
1.625190005398097e-08	0.000000e+00	5.000000e+00	0.000000e+00	4.999999e+00
1.627936078152385e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.630956706996744e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.634257528389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.638163778389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.642070028389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.645976278389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.649882528389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
1.653788778389350e-08	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00
